Designator,Mid X,Mid Y,Rotation,Layer
R11,59.623223,13.273224,90.0,bottom
R12,22.523223,-15.326776,270.0,bottom
R13,24.073223,-14.626776,90.0,bottom
R14,58.873223,-2.730683,0.0,bottom
R15,56.673223,-6.630683,90.0,bottom
R16,38.223223,-23.426776,90.0,bottom
R17,44.723223,-22.526776,270.0,bottom
R18,46.723223,-21.026776,270.0,bottom
R20,54.373223,-11.230683,270.0,bottom
R21,56.323223,-11.230683,90.0,bottom
R22,60.223223,6.269317,270.0,bottom
R23,50.5,7.3,180.0,bottom
R24,66.3,-8.9,270.0,bottom
R25,68.6,-6.7,270.0,bottom
R26,60.773223,-5.4,270.0,bottom
R27,58.6,-5.4,270.0,bottom
R28,62.4,-8.9,90.0,bottom
R29,64.3,-9.3,90.0,bottom
R3,27.923223,10.673224,45.0,bottom
R4,26.523223,9.273224,45.0,bottom
R6,37.823223,-2.826776,0.0,bottom
R7,59.773223,-0.830683,180.0,bottom
R8,35.2,13.4,90.0,bottom
R9,45.4,21.5,90.0,bottom
SW2,60.05,37.25,90.0,bottom
SW3,67.323223,-22.226776,90.0,top
T1,59.573223,-9.630683,90.0,bottom
THERM1,68.6,-3.3,90.0,bottom
U2,34.033223,-4.736776,270.0,bottom
U4,52.610723,-4.955683,180.0,bottom
U5,64.5,-4.5,270.0,bottom
UP_U4,36.023223,15.173224,270.0,top
VO+1,29.023223,-14.026776,270.0,bottom
VOL_DOWN1,25.023223,-3.626776,90.0,top
VOL_UP1,25.023223,10.873224,90.0,top
